epoch,target_epochs,seconds,categorical_accuracy,loss,val_categorical_accuracy,val_loss
97.0,3000.0,118.0,0.717,0.7855,0.7094,0.8165
98.0,3000.0,115.0,0.7209,0.7764,0.713,0.8125
99.0,3000.0,116.0,0.7156,0.7911,0.7236,0.7754
100.0,3000.0,115.0,0.7176,0.7862,0.7208,0.7797
101.0,3000.0,115.0,0.7187,0.78,0.71,0.8016
102.0,3000.0,115.0,0.7231,0.7683,0.7191,0.7804
103.0,3000.0,114.0,0.72,0.7775,0.7203,0.7844
104.0,3000.0,114.0,0.7189,0.7821,0.7281,0.7502
105.0,3000.0,114.0,0.7139,0.7971,0.7296,0.758
106.0,3000.0,115.0,0.7162,0.7891,0.7219,0.7819
107.0,3000.0,112.0,0.7241,0.7668,0.7263,0.766
108.0,3000.0,113.0,0.719,0.7803,0.7263,0.7668
109.0,3000.0,113.0,0.7294,0.7479,0.7288,0.7471
110.0,3000.0,114.0,0.7215,0.7732,0.7242,0.7755
111.0,3000.0,112.0,0.7221,0.773,0.7269,0.7641
112.0,3000.0,112.0,0.7261,0.7609,0.7194,0.7759
113.0,3000.0,113.0,0.7277,0.7537,0.735,0.7368
114.0,3000.0,112.0,0.7248,0.7642,0.7261,0.7704
115.0,3000.0,115.0,0.7332,0.7391,0.7331,0.736
116.0,3000.0,112.0,0.7224,0.7699,0.732,0.7541
117.0,3000.0,119.0,0.7242,0.7651,0.7293,0.7581
118.0,3000.0,113.0,0.7291,0.7515,0.7318,0.7445
119.0,3000.0,112.0,0.7268,0.7572,0.6962,0.8258
120.0,3000.0,113.0,0.7286,0.7524,0.7315,0.7501
121.0,3000.0,111.0,0.7266,0.7584,0.73,0.752
122.0,3000.0,111.0,0.7298,0.7486,0.7158,0.7949
123.0,3000.0,112.0,0.7298,0.7489,0.7249,0.7678
124.0,3000.0,112.0,0.7289,0.75,0.7317,0.7554
125.0,3000.0,112.0,0.7285,0.7529,0.7266,0.7676
126.0,3000.0,112.0,0.7324,0.7413,0.7384,0.7209
127.0,3000.0,114.0,0.7328,0.7399,0.7175,0.7702
128.0,3000.0,117.0,0.7344,0.7346,0.7379,0.7335
129.0,3000.0,116.0,0.7329,0.7404,0.7257,0.7698
130.0,3000.0,113.0,0.7303,0.7473,0.745,0.7202
131.0,3000.0,114.0,0.7312,0.7444,0.7197,0.7734
132.0,3000.0,114.0,0.7348,0.7331,0.7334,0.7493
133.0,3000.0,113.0,0.729,0.7512,0.7427,0.7033
134.0,3000.0,113.0,0.7337,0.7373,0.7308,0.741
135.0,3000.0,111.0,0.7294,0.7474,0.7359,0.7397
136.0,3000.0,111.0,0.7352,0.7322,0.7439,0.717
137.0,3000.0,111.0,0.735,0.7322,0.7398,0.7161
138.0,3000.0,112.0,0.7364,0.7294,0.7395,0.7211
139.0,3000.0,113.0,0.7373,0.7261,0.7343,0.7376
140.0,3000.0,113.0,0.7399,0.7175,0.7414,0.7284
141.0,3000.0,113.0,0.7358,0.7327,0.7413,0.7249
142.0,3000.0,114.0,0.7367,0.7276,0.7454,0.7031
143.0,3000.0,112.0,0.7414,0.7144,0.7386,0.7146
144.0,3000.0,113.0,0.7408,0.7152,0.7339,0.7249
145.0,3000.0,112.0,0.7355,0.7296,0.7456,0.7046
146.0,3000.0,112.0,0.7402,0.7164,0.7387,0.7408
147.0,3000.0,113.0,0.74,0.7187,0.7452,0.7028
148.0,3000.0,115.0,0.7392,0.7212,0.7423,0.7202
149.0,3000.0,114.0,0.7394,0.7206,0.7405,0.7152
150.0,3000.0,130.0,0.7416,0.7125,0.7309,0.7403
151.0,3000.0,117.0,0.7411,0.7144,0.7403,0.7125
152.0,3000.0,111.0,0.7431,0.7085,0.7417,0.7183
153.0,3000.0,118.0,0.7395,0.7195,0.7342,0.7255
154.0,3000.0,112.0,0.7395,0.7206,0.7389,0.7272
155.0,3000.0,110.0,0.7396,0.7193,0.7438,0.711
156.0,3000.0,115.0,0.7421,0.7116,0.7412,0.7056
157.0,3000.0,110.0,0.7446,0.7043,0.7412,0.7093
158.0,3000.0,110.0,0.7384,0.7242,0.7359,0.7336
159.0,3000.0,111.0,0.7399,0.7169,0.7448,0.7053
160.0,3000.0,112.0,0.744,0.7062,0.7413,0.7266
161.0,3000.0,113.0,0.7417,0.7131,0.7486,0.7023
162.0,3000.0,116.0,0.7421,0.7123,0.7511,0.6765
163.0,3000.0,114.0,0.744,0.705,0.7304,0.7423
164.0,3000.0,116.0,0.7445,0.7041,0.7451,0.7005
165.0,3000.0,114.0,0.7426,0.7081,0.7524,0.6874
166.0,3000.0,114.0,0.7446,0.7032,0.7575,0.6629
167.0,3000.0,112.0,0.7451,0.7018,0.7478,0.6844
168.0,3000.0,114.0,0.7411,0.7137,0.741,0.7134
169.0,3000.0,113.0,0.7469,0.6964,0.7531,0.6805
170.0,3000.0,113.0,0.7444,0.7044,0.7387,0.7244
171.0,3000.0,115.0,0.7451,0.7017,0.7481,0.6869
172.0,3000.0,115.0,0.7504,0.6855,0.747,0.7014
173.0,3000.0,116.0,0.7467,0.6991,0.7461,0.6972
174.0,3000.0,114.0,0.7491,0.6897,0.751,0.6955
175.0,3000.0,114.0,0.7486,0.6911,0.7477,0.7058
176.0,3000.0,113.0,0.7455,0.6991,0.7527,0.6883
177.0,3000.0,114.0,0.748,0.6915,0.7441,0.7022
178.0,3000.0,112.0,0.7466,0.697,0.7479,0.6978
179.0,3000.0,115.0,0.7489,0.6889,0.7354,0.7349
180.0,3000.0,117.0,0.751,0.6808,0.7455,0.6986
181.0,3000.0,131.0,0.7532,0.676,0.7564,0.6679
182.0,3000.0,114.0,0.7511,0.6821,0.7492,0.6853
183.0,3000.0,113.0,0.7495,0.6861,0.7494,0.6978
184.0,3000.0,113.0,0.7515,0.6807,0.748,0.6913
185.0,3000.0,114.0,0.7492,0.6871,0.7561,0.6742
186.0,3000.0,113.0,0.75,0.6855,0.7513,0.6858
187.0,3000.0,112.0,0.749,0.6873,0.7504,0.6969
188.0,3000.0,114.0,0.751,0.6822,0.7478,0.6883
189.0,3000.0,115.0,0.7461,0.6975,0.7484,0.6826
190.0,3000.0,118.0,0.7486,0.6904,0.7485,0.6976
191.0,3000.0,116.0,0.7487,0.6876,0.7495,0.6868
192.0,3000.0,115.0,0.7465,0.6951,0.7577,0.6634
193.0,3000.0,114.0,0.7488,0.6889,0.7563,0.6674
194.0,3000.0,113.0,0.7493,0.6855,0.7377,0.7195
195.0,3000.0,114.0,0.7532,0.6745,0.7513,0.6802
196.0,3000.0,120.0,0.7508,0.6791,0.7572,0.6623
197.0,3000.0,114.0,0.7484,0.6891,0.7462,0.6856
198.0,3000.0,115.0,0.7537,0.6723,0.7536,0.6729
199.0,3000.0,114.0,0.7513,0.6809,0.742,0.7066
200.0,3000.0,116.0,0.7579,0.6568,0.7472,0.689
201.0,3000.0,114.0,0.7513,0.6796,0.7643,0.639
202.0,3000.0,115.0,0.7582,0.6577,0.7595,0.6599
203.0,3000.0,114.0,0.7579,0.6593,0.7559,0.6634
204.0,3000.0,115.0,0.7534,0.6712,0.7504,0.6876
205.0,3000.0,113.0,0.7529,0.6715,0.7542,0.6698
206.0,3000.0,114.0,0.7519,0.6768,0.7526,0.6685
207.0,3000.0,112.0,0.7488,0.6852,0.7634,0.6428
208.0,3000.0,112.0,0.7546,0.6657,0.7612,0.6557
209.0,3000.0,117.0,0.7534,0.6684,0.7589,0.6562
210.0,3000.0,113.0,0.7525,0.6727,0.7611,0.6515
211.0,3000.0,114.0,0.7553,0.6624,0.7658,0.6361
212.0,3000.0,115.0,0.7601,0.6496,0.7555,0.6626
213.0,3000.0,115.0,0.758,0.6565,0.7586,0.6519
214.0,3000.0,113.0,0.7521,0.6729,0.7587,0.6581
215.0,3000.0,112.0,0.7568,0.6593,0.7615,0.647
216.0,3000.0,114.0,0.7577,0.6558,0.757,0.6562
217.0,3000.0,113.0,0.7568,0.6564,0.7669,0.6296
218.0,3000.0,113.0,0.7557,0.6619,0.7612,0.6505
219.0,3000.0,112.0,0.7542,0.6658,0.7589,0.662
220.0,3000.0,114.0,0.755,0.662,0.7539,0.6681
221.0,3000.0,114.0,0.7576,0.6553,0.7531,0.6644
222.0,3000.0,113.0,0.7583,0.6522,0.7553,0.6659
223.0,3000.0,114.0,0.7643,0.6337,0.7453,0.6878
224.0,3000.0,113.0,0.7622,0.6398,0.7596,0.656
225.0,3000.0,112.0,0.7577,0.6524,0.7646,0.6323
226.0,3000.0,112.0,0.7594,0.6491,0.762,0.6442
227.0,3000.0,112.0,0.7575,0.653,0.7583,0.655
228.0,3000.0,112.0,0.7609,0.6445,0.7645,0.6323
229.0,3000.0,111.0,0.7573,0.6544,0.7628,0.6486
230.0,3000.0,115.0,0.7565,0.6577,0.7574,0.6537
231.0,3000.0,119.0,0.7608,0.6439,0.7676,0.6278
232.0,3000.0,122.0,0.762,0.639,0.7571,0.6575
233.0,3000.0,117.0,0.7608,0.6433,0.7493,0.6728
234.0,3000.0,122.0,0.7599,0.645,0.7624,0.6378
235.0,3000.0,116.0,0.7572,0.6546,0.7734,0.6121
236.0,3000.0,115.0,0.7598,0.6455,0.7606,0.6404
237.0,3000.0,114.0,0.7588,0.6475,0.762,0.6348
238.0,3000.0,116.0,0.7602,0.6441,0.7563,0.6526
239.0,3000.0,115.0,0.7585,0.6502,0.7617,0.6365
240.0,3000.0,111.0,0.7572,0.6537,0.759,0.6483
241.0,3000.0,112.0,0.7622,0.6368,0.7356,0.7058
242.0,3000.0,112.0,0.761,0.6417,0.7648,0.6301
243.0,3000.0,114.0,0.763,0.6353,0.756,0.6511
244.0,3000.0,110.0,0.7575,0.6506,0.7568,0.6558
245.0,3000.0,110.0,0.765,0.6287,0.7699,0.6239
246.0,3000.0,114.0,0.7609,0.6393,0.7644,0.6487
247.0,3000.0,111.0,0.7649,0.6282,0.7651,0.6287
248.0,3000.0,112.0,0.7627,0.6364,0.7691,0.6175
249.0,3000.0,110.0,0.7633,0.6323,0.7486,0.6662
250.0,3000.0,110.0,0.7603,0.643,0.7686,0.618
251.0,3000.0,109.0,0.7629,0.6343,0.7414,0.6841
252.0,3000.0,108.0,0.7624,0.6359,0.7694,0.6251
253.0,3000.0,110.0,0.7666,0.622,0.7667,0.6254
254.0,3000.0,108.0,0.7599,0.6423,0.7627,0.6435
255.0,3000.0,111.0,0.7648,0.6263,0.7653,0.6251
256.0,3000.0,109.0,0.7642,0.6293,0.7602,0.6389
257.0,3000.0,110.0,0.765,0.6269,0.7658,0.6374
258.0,3000.0,112.0,0.7644,0.6285,0.7673,0.6224
259.0,3000.0,111.0,0.7655,0.6241,0.7706,0.6135
260.0,3000.0,110.0,0.7661,0.6229,0.7609,0.641
261.0,3000.0,108.0,0.7601,0.6408,0.7672,0.6198
262.0,3000.0,109.0,0.7689,0.614,0.7627,0.6424
263.0,3000.0,109.0,0.7619,0.6362,0.754,0.6614
264.0,3000.0,110.0,0.7682,0.6168,0.7753,0.6005
265.0,3000.0,115.0,0.7613,0.6364,0.7636,0.6338
266.0,3000.0,109.0,0.7652,0.6255,0.7617,0.6331
267.0,3000.0,109.0,0.7644,0.6268,0.7669,0.6239
268.0,3000.0,110.0,0.771,0.609,0.7525,0.6492
269.0,3000.0,111.0,0.7638,0.6292,0.7722,0.5999
270.0,3000.0,109.0,0.7654,0.6243,0.7659,0.6269
271.0,3000.0,109.0,0.7672,0.62,0.7646,0.6297
272.0,3000.0,110.0,0.7679,0.6174,0.7654,0.6313
273.0,3000.0,110.0,0.7691,0.6121,0.7619,0.6339
274.0,3000.0,109.0,0.767,0.6203,0.7658,0.6257
275.0,3000.0,115.0,0.7667,0.6203,0.7669,0.6265
276.0,3000.0,109.0,0.7655,0.623,0.765,0.6272
277.0,3000.0,109.0,0.7647,0.6274,0.772,0.6109
278.0,3000.0,108.0,0.7686,0.6137,0.757,0.6475
279.0,3000.0,109.0,0.7736,0.599,0.7736,0.5997
280.0,3000.0,109.0,0.7629,0.6304,0.7657,0.6218
281.0,3000.0,110.0,0.77,0.6084,0.7699,0.6114
282.0,3000.0,112.0,0.7688,0.613,0.7724,0.6085
283.0,3000.0,111.0,0.7633,0.6291,0.77,0.6094
284.0,3000.0,108.0,0.7614,0.6342,0.7673,0.6173
285.0,3000.0,111.0,0.7697,0.61,0.7735,0.6022
286.0,3000.0,109.0,0.7671,0.6173,0.7812,0.5826
287.0,3000.0,110.0,0.7678,0.6151,0.7689,0.6102
288.0,3000.0,110.0,0.77,0.6082,0.7693,0.6053
289.0,3000.0,109.0,0.7691,0.6115,0.774,0.6042
290.0,3000.0,110.0,0.7677,0.6147,0.7739,0.603
291.0,3000.0,110.0,0.7712,0.6033,0.758,0.6511
292.0,3000.0,109.0,0.7675,0.616,0.7579,0.6341
293.0,3000.0,109.0,0.7743,0.595,0.7715,0.6012
294.0,3000.0,109.0,0.77,0.6082,0.771,0.6094
295.0,3000.0,109.0,0.7686,0.6131,0.7741,0.6046
296.0,3000.0,110.0,0.7731,0.5975,0.7686,0.6078
297.0,3000.0,109.0,0.7647,0.6243,0.7729,0.6045
298.0,3000.0,110.0,0.7711,0.6046,0.7708,0.6098
299.0,3000.0,110.0,0.7669,0.6172,0.7728,0.5954
300.0,3000.0,109.0,0.7677,0.6148,0.7707,0.6091
301.0,3000.0,109.0,0.767,0.6173,0.7716,0.6136
302.0,3000.0,110.0,0.7663,0.6186,0.7747,0.5968
303.0,3000.0,109.0,0.7742,0.5949,0.7763,0.5852
304.0,3000.0,110.0,0.7704,0.607,0.7643,0.6264
305.0,3000.0,125.0,0.7673,0.6134,0.7794,0.5851
306.0,3000.0,112.0,0.7666,0.6172,0.7756,0.6034
