4991,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4573,0,0,0,3,0,176,0,0,0,0,235,0,0,0,0,0,5,0
7,0,4891,59,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,31,4917,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
117,0,361,61,4454,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0
0,3,0,0,0,4327,3,667,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,7,4990,2,0,0,0,0,0,0,0,0,0,0,0,0
0,104,0,0,0,1131,5,3760,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4752,130,19,0,0,4,4,1,0,0,0,90
0,0,10,0,3,0,0,0,320,4424,20,0,0,18,66,1,0,0,0,138
0,0,0,0,0,0,0,0,6,25,2683,0,0,1980,124,63,0,0,0,119
0,0,0,0,0,0,0,0,0,0,0,4523,0,373,21,6,10,0,0,67
0,69,0,0,0,0,1,0,0,0,0,0,4919,0,0,0,0,0,11,0
0,0,0,0,0,0,0,0,4,22,1167,486,0,2926,113,60,2,0,0,220
0,0,0,0,5,0,0,0,9,69,251,65,0,324,4088,113,0,0,0,76
0,0,0,0,0,0,0,0,0,0,37,1,0,18,46,4891,5,0,0,2
0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,1,4991,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4923,77,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,72,4924,0
0,0,0,0,0,0,0,0,288,88,43,22,0,233,62,2,0,0,0,4262
