1992,761,632,196,386,41,165,0,42,19,25,57,119,4,11,46,87,180,228,9
111,3684,62,10,11,86,147,390,11,2,0,8,333,1,3,1,13,40,86,1
83,26,3742,154,572,13,47,1,20,149,8,24,33,3,57,23,11,8,24,2
35,33,494,2385,1598,1,4,0,15,154,11,10,8,0,175,43,15,10,8,1
72,19,591,353,3631,1,4,0,11,137,7,7,7,2,105,22,7,14,10,0
8,180,25,0,1,2836,576,1363,0,0,0,2,7,0,0,1,1,0,0,0
44,185,94,5,12,396,3716,237,30,14,6,8,136,1,5,9,9,22,69,2
5,934,6,0,0,1069,293,2685,0,0,0,0,6,0,0,0,1,0,1,0
5,1,69,15,23,1,6,0,2641,851,189,117,15,124,123,104,233,24,39,420
2,6,111,32,92,1,2,0,552,2763,237,19,8,88,524,146,73,15,22,307
9,1,80,33,63,0,10,0,404,1027,1074,33,22,429,500,626,170,41,45,433
16,11,52,9,25,3,19,0,491,82,26,2751,28,171,103,134,628,30,51,370
33,593,85,4,6,2,186,14,107,10,8,15,3323,1,0,4,18,79,504,8
24,4,58,22,26,1,9,0,483,745,674,269,11,539,476,544,330,36,50,699
9,3,86,36,71,0,6,2,235,1212,335,61,10,166,1712,527,121,32,31,345
14,6,82,28,57,0,12,0,188,501,404,79,13,239,708,1984,298,47,39,301
18,9,42,12,13,0,31,1,388,106,39,758,15,220,81,209,2790,50,21,197
84,185,62,20,69,1,77,1,118,69,52,21,199,13,56,84,65,2510,1282,32
85,286,140,24,40,1,83,1,163,72,46,36,628,7,11,47,30,927,2362,11
9,3,64,18,10,2,8,1,874,988,283,123,24,247,308,262,249,33,30,1464
