4989,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4635,0,0,0,3,4,123,0,0,0,0,228,0,0,0,0,0,5,0
7,0,4891,71,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,0,8,4953,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
116,0,366,81,4429,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0
0,2,0,0,0,4063,12,923,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,3,4991,4,0,0,0,0,0,0,0,0,0,0,0,0
0,167,0,0,0,874,3,3956,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4762,68,18,0,0,2,4,1,0,0,0,145
0,0,10,0,0,0,0,0,366,4286,44,0,0,16,88,0,0,0,0,190
0,0,0,0,0,0,0,0,7,15,3732,0,0,1044,50,57,0,0,0,95
0,0,0,0,0,0,0,0,0,0,0,4531,0,357,39,2,6,0,0,65
0,56,0,0,0,0,1,0,0,0,0,0,4934,0,0,0,0,0,9,0
0,0,0,0,0,0,0,0,3,17,2190,527,0,1942,65,54,0,0,0,202
0,0,0,0,0,0,0,0,5,44,519,71,0,217,3956,112,0,0,0,76
0,0,0,0,0,0,0,0,0,1,39,3,0,13,39,4900,2,0,0,3
0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,4988,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4955,45,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,79,4917,0
0,0,0,0,0,0,0,0,232,51,99,25,0,200,54,2,1,0,0,4336
